,Residents
1971-03-31,13067.3
1971-06-30,13130.5
1971-09-30,13198.4
1971-12-31,13254.2
1972-03-31,13303.7
1972-06-30,13353.9
1972-09-30,13409.3
1972-12-31,13459.2
1973-03-31,13504.5
1973-06-30,13552.6
1973-09-30,13614.3
1973-12-31,13669.5
1974-03-31,13722.6
1974-06-30,13772.1
1974-09-30,13832.0
1974-12-31,13862.6
1975-03-31,13893.0
1975-06-30,13926.8
1975-09-30,13968.9
1975-12-31,14004.7
1976-03-31,14033.1
1976-06-30,14066.0
1976-09-30,14110.1
1976-12-31,14155.6
1977-03-31,14192.2
1977-06-30,14231.7
1977-09-30,14281.5
1977-12-31,14330.3
1978-03-31,14359.3
1978-06-30,14396.6
1978-09-30,14430.8
1978-12-31,14478.4
1979-03-31,14515.7
1979-06-30,14554.9
1979-09-30,14602.5
1979-12-31,14646.4
1980-03-31,14695.4
1980-06-30,14746.6
1980-09-30,14807.4
1980-12-31,14874.4
1981-03-31,14923.3
1981-06-30,14988.7
1981-09-30,15054.1
1981-12-31,15121.7
1982-03-31,15184.2
1982-06-30,15239.3
1982-09-30,15288.9
1982-12-31,15346.2
1983-03-31,15393.5
1983-06-30,15439.0
1983-09-30,15483.5
1983-12-31,15531.5
1984-03-31,15579.4
1984-06-30,15628.5
1984-09-30,15677.3
1984-12-31,15736.7
1985-03-31,15788.3
1985-06-30,15839.7
1985-09-30,15900.6
1985-12-31,15961.5
1986-03-31,16018.3
1986-06-30,16076.9
1986-09-30,16139.0
1986-12-31,16203.0
1987-03-31,16263.3
1987-06-30,16327.9
1987-09-30,16398.9
1987-12-31,16478.3
1988-03-31,16538.2
1988-06-30,16621.6
1988-09-30,16697.0
1988-12-31,16777.2
1989-03-31,16833.1
1989-06-30,16891.6
1989-09-30,16956.8
1989-12-31,17026.3
1990-03-31,17085.4
1990-06-30,17106.9
1990-09-30,17169.4
1990-12-31,17239.4
1991-03-31,17292.0
1991-06-30,17354.2
1991-09-30,17414.2
1991-12-31,17447.3
1992-03-31,17482.6
1992-06-30,17526.0
1992-09-30,17568.7
1992-12-31,17627.1
1993-03-31,17661.5
