"idx","values"
1960-01-01,2.42
1960-02-01,2.14
1960-03-01,2.28
1960-04-01,2.5
1960-05-01,2.44
1960-06-01,2.72
1960-07-01,2.71
1960-08-01,2.74
1960-09-01,2.55
1960-10-01,2.49
1960-11-01,2.13
1960-12-01,2.28
1961-01-01,2.35
1961-02-01,1.82
1961-03-01,2.4
1961-04-01,2.46
1961-05-01,2.38
1961-06-01,2.83
1961-07-01,2.68
1961-08-01,2.81
1961-09-01,2.54
1961-10-01,2.54
1961-11-01,2.37
1961-12-01,2.54
1962-01-01,2.62
1962-02-01,2.34
1962-03-01,2.68
1962-04-01,2.75
1962-05-01,2.66
1962-06-01,2.96
1962-07-01,2.66
1962-08-01,2.93
1962-09-01,2.7
1962-10-01,2.65
1962-11-01,2.46
1962-12-01,2.59
1963-01-01,2.75
1963-02-01,2.45
1963-03-01,2.85
1963-04-01,2.99
1963-05-01,2.89
1963-06-01,3.43
1963-07-01,3.25
1963-08-01,3.59
1963-09-01,3.12
1963-10-01,3.16
1963-11-01,2.86
1963-12-01,3.22
1964-01-01,3.24
1964-02-01,2.95
1964-03-01,3.32
1964-04-01,3.29
1964-05-01,3.32
1964-06-01,3.91
1964-07-01,3.8
1964-08-01,4.02
1964-09-01,3.53
1964-10-01,3.61
1964-11-01,3.22
1964-12-01,3.67
1965-01-01,3.75
1965-02-01,3.25
1965-03-01,3.7
1965-04-01,3.98
1965-05-01,3.88
1965-06-01,4.47
1965-07-01,4.6
1965-08-01,4.9
1965-09-01,4.2
1965-10-01,4.2
1965-11-01,3.8
1965-12-01,4.5
1966-01-01,4.4
1966-02-01,4
1966-03-01,4.7
1966-04-01,5.1
1966-05-01,4.9
1966-06-01,5.7
1966-07-01,3.9
1966-08-01,4.2
1966-09-01,5.1
1966-10-01,5
1966-11-01,4.7
1966-12-01,5.5
1967-01-01,5.3
1967-02-01,4.6
1967-03-01,5.9
1967-04-01,5.5
1967-05-01,5.4
1967-06-01,6.7
1967-07-01,6.8
1967-08-01,7.4
1967-09-01,6
1967-10-01,5.8
1967-11-01,5.5
1967-12-01,6.4
1968-01-01,6.2
1968-02-01,5.7
1968-03-01,6.4
1968-04-01,6.7
1968-05-01,6.3
1968-06-01,7.8
1968-07-01,7.6
1968-08-01,8.6
1968-09-01,6.6
1968-10-01,6.5
1968-11-01,6
1968-12-01,7.6
1969-01-01,7
1969-02-01,6
1969-03-01,7.1
1969-04-01,7.4
1969-05-01,7.2
1969-06-01,8.4
1969-07-01,8.5
1969-08-01,9.4
1969-09-01,7.1
1969-10-01,7
1969-11-01,6.6
1969-12-01,8
1970-01-01,10.45
1970-02-01,8.81
1970-03-01,10.61
1970-04-01,9.97
1970-05-01,10.69
1970-06-01,12.4
1970-07-01,13.38
1970-08-01,14.31
1970-09-01,10.9
1970-10-01,9.98
1970-11-01,9.2
1970-12-01,10.94
1971-01-01,10.53
1971-02-01,9.06
1971-03-01,10.17
1971-04-01,11.17
1971-05-01,10.84
1971-06-01,12.09
1971-07-01,13.66
1971-08-01,14.06
1971-09-01,11.14
1971-10-01,11.1
1971-11-01,10
1971-12-01,11.98
1972-01-01,11.74
1972-02-01,10.27
1972-03-01,12.05
1972-04-01,12.27
1972-05-01,12.03
1972-06-01,13.95
1972-07-01,15.1
1972-08-01,15.65
1972-09-01,12.47
1972-10-01,12.29
1972-11-01,11.52
1972-12-01,13.08
1973-01-01,12.5
1973-02-01,11.05
1973-03-01,12.94
1973-04-01,13.24
1973-05-01,13.16
1973-06-01,14.95
1973-07-01,16
1973-08-01,16.98
1973-09-01,13.15
1973-10-01,12.88
1973-11-01,11.99
1973-12-01,13.13
1974-01-01,12.99
1974-02-01,11.69
1974-03-01,13.78
1974-04-01,13.7
1974-05-01,13.57
1974-06-01,15.12
1974-07-01,15.55
1974-08-01,16.73
1974-09-01,12.68
1974-10-01,12.65
1974-11-01,11.18
1974-12-01,13.27
1975-01-01,12.64
1975-02-01,11.01
1975-03-01,13.3
1975-04-01,12.19
1975-05-01,12.91
1975-06-01,14.9
1975-07-01,16.1
1975-08-01,17.3
1975-09-01,12.9
1975-10-01,13.36
1975-11-01,12.26
1975-12-01,13.93
1976-01-01,13.94
1976-02-01,12.75
1976-03-01,14.19
1976-04-01,14.67
1976-05-01,14.66
1976-06-01,16.21
1976-07-01,17.72
1976-08-01,18.15
1976-09-01,14.19
1976-10-01,14.33
1976-11-01,12.99
1976-12-01,15.19
1977-01-01,15.09
1977-02-01,12.94
1977-03-01,15.46
1977-04-01,15.39
1977-05-01,15.34
1977-06-01,17.02
1977-07-01,18.85
1977-08-01,19.49
1977-09-01,15.61
1977-10-01,16.16
1977-11-01,14.84
1977-12-01,17.04
