"idx","values"
1965-01-01,38
1965-02-01,44
1965-03-01,53
1965-04-01,49
1965-05-01,54
1965-06-01,57
1965-07-01,51
1965-08-01,58
1965-09-01,48
1965-10-01,44
1965-11-01,42
1965-12-01,37
1966-01-01,42
1966-02-01,43
1966-03-01,53
1966-04-01,49
1966-05-01,49
1966-06-01,40
1966-07-01,40
1966-08-01,36
1966-09-01,29
1966-10-01,31
1966-11-01,26
1966-12-01,23
1967-01-01,29
1967-02-01,32
1967-03-01,41
1967-04-01,44
1967-05-01,49
1967-06-01,47
1967-07-01,46
1967-08-01,47
1967-09-01,43
1967-10-01,45
1967-11-01,34
1967-12-01,31
1968-01-01,35
1968-02-01,43
1968-03-01,46
1968-04-01,46
1968-05-01,43
1968-06-01,41
1968-07-01,44
1968-08-01,47
1968-09-01,41
1968-10-01,40
1968-11-01,32
1968-12-01,32
1969-01-01,34
1969-02-01,40
1969-03-01,43
1969-04-01,42
1969-05-01,43
1969-06-01,44
1969-07-01,39
1969-08-01,40
1969-09-01,33
1969-10-01,32
1969-11-01,31
1969-12-01,28
1970-01-01,34
1970-02-01,29
1970-03-01,36
1970-04-01,42
1970-05-01,43
1970-06-01,44
1970-07-01,44
1970-08-01,48
1970-09-01,45
1970-10-01,44
1970-11-01,40
1970-12-01,37
1971-01-01,45
1971-02-01,49
1971-03-01,62
1971-04-01,62
1971-05-01,58
1971-06-01,59
1971-07-01,64
1971-08-01,62
1971-09-01,50
1971-10-01,52
1971-11-01,50
1971-12-01,44
1972-01-01,51
1972-02-01,56
1972-03-01,60
1972-04-01,65
1972-05-01,64
1972-06-01,63
1972-07-01,63
1972-08-01,72
1972-09-01,61
1972-10-01,65
1972-11-01,51
1972-12-01,47
1973-01-01,54
1973-02-01,58
1973-03-01,66
1973-04-01,63
1973-05-01,64
1973-06-01,60
1973-07-01,53
1973-08-01,52
1973-09-01,44
1973-10-01,40
1973-11-01,36
1973-12-01,28
1974-01-01,36
1974-02-01,42
1974-03-01,53
1974-04-01,53
1974-05-01,55
1974-06-01,48
1974-07-01,47
1974-08-01,43
1974-09-01,39
1974-10-01,33
1974-11-01,30
1974-12-01,23
1975-01-01,29
1975-02-01,33
1975-03-01,44
1975-04-01,54
1975-05-01,56
1975-06-01,51
1975-07-01,51
1975-08-01,53
1975-09-01,45
1975-10-01,45
1975-11-01,44
1975-12-01,38
