"idx","values"
1965-01-01,52149
1965-02-01,47205
1965-03-01,82150
1965-04-01,100931
1965-05-01,98408
1965-06-01,97351
1965-07-01,96489
1965-08-01,88830
1965-09-01,80876
1965-10-01,85750
1965-11-01,72351
1965-12-01,61198
1966-01-01,46561
1966-02-01,50361
1966-03-01,83236
1966-04-01,94343
1966-05-01,84748
1966-06-01,79828
1966-07-01,69068
1966-08-01,69362
1966-09-01,59404
1966-10-01,53530
1966-11-01,50212
1966-12-01,37972
1967-01-01,40157
1967-02-01,40274
1967-03-01,66592
1967-04-01,79839
1967-05-01,87341
1967-06-01,87594
1967-07-01,82344
1967-08-01,83712
1967-09-01,78194
1967-10-01,81704
1967-11-01,69088
1967-12-01,47026
1968-01-01,45234
1968-02-01,55431
1968-03-01,79325
1968-04-01,97983
1968-05-01,86806
1968-06-01,81424
1968-07-01,86398
1968-08-01,82522
1968-09-01,80078
1968-10-01,85560
1968-11-01,64819
1968-12-01,53847
1969-01-01,51300
1969-02-01,47909
1969-03-01,71941
1969-04-01,84982
1969-05-01,91301
1969-06-01,82741
1969-07-01,73523
1969-08-01,69465
1969-09-01,71504
1969-10-01,68039
1969-11-01,55069
1969-12-01,42827
1970-01-01,33363
1970-02-01,41367
1970-03-01,61879
1970-04-01,73835
1970-05-01,74848
1970-06-01,83007
1970-07-01,75461
1970-08-01,77291
1970-09-01,75961
1970-10-01,79393
1970-11-01,67443
1970-12-01,69041
1971-01-01,54856
1971-02-01,58287
1971-03-01,91584
1971-04-01,116013
1971-05-01,115627
1971-06-01,116946
1971-07-01,107747
1971-08-01,111663
1971-09-01,102149
1971-10-01,102882
1971-11-01,92904
1971-12-01,80362
1972-01-01,76185
1972-02-01,76306
1972-03-01,111358
1972-04-01,119840
1972-05-01,135167
1972-06-01,131870
1972-07-01,119078
1972-08-01,131324
1972-09-01,120491
1972-10-01,116990
1972-11-01,97428
1972-12-01,73195
1973-01-01,77105
1973-02-01,73560
1973-03-01,105136
1973-04-01,120453
1973-05-01,131643
1973-06-01,114822
1973-07-01,114746
1973-08-01,106806
1973-09-01,84504
1973-10-01,86004
1973-11-01,70488
1973-12-01,46767
1974-01-01,43292
1974-02-01,57593
1974-03-01,76946
1974-04-01,102237
1974-05-01,96340
1974-06-01,99318
1974-07-01,90715
1974-08-01,79782
1974-09-01,73443
1974-10-01,69460
1974-11-01,57898
1974-12-01,41041
1975-01-01,39791
1975-02-01,39959
1975-03-01,62498
1975-04-01,77777
1975-05-01,92782
1975-06-01,90284
1975-07-01,92782
1975-08-01,90655
1975-09-01,84517
1975-10-01,93826
1975-11-01,71646
1975-12-01,55650
